Datetime,Open,High,Low,Close,Adj Close,Volume
2023-04-02 11:05:00+00:00,28339.921875,28345.2578125,28325.755859375,28345.2578125,28345.2578125,27979776
2023-04-02 11:10:00+00:00,28351.7578125,28364.82421875,28351.7578125,28364.82421875,28364.82421875,7499776
2023-04-02 11:15:00+00:00,28367.50390625,28367.50390625,28355.767578125,28362.0390625,28362.0390625,7378944
2023-04-02 11:20:00+00:00,28358.580078125,28365.15625,28347.5625,28365.15625,28365.15625,899072
2023-04-02 11:25:00+00:00,28371.783203125,28377.99609375,28371.783203125,28377.99609375,28377.99609375,10322944
2023-04-02 11:30:00+00:00,28368.90234375,28374.115234375,28364.353515625,28364.353515625,28364.353515625,2145280
2023-04-02 11:35:00+00:00,28358.09375,28367.35546875,28354.404296875,28367.35546875,28367.35546875,19050496
2023-04-02 11:40:00+00:00,28370.21484375,28373.58203125,28370.21484375,28373.58203125,28373.58203125,0
2023-04-02 11:45:00+00:00,28373.814453125,28378.099609375,28373.814453125,28376.908203125,28376.908203125,3231744
2023-04-02 11:50:00+00:00,28365.400390625,28365.400390625,28358.85546875,28359.04296875,28359.04296875,365568
2023-04-02 11:55:00+00:00,28359.57421875,28359.6953125,28356.76171875,28356.76171875,28356.76171875,0
2023-04-02 12:00:00+00:00,28356.794921875,28356.794921875,28349.65234375,28349.65234375,28349.65234375,1176576
2023-04-02 12:05:00+00:00,28335.232421875,28360.75,28321.220703125,28354.408203125,28354.408203125,49026048
2023-04-02 12:10:00+00:00,28354.69921875,28354.9453125,28349.986328125,28350.1875,28350.1875,0
2023-04-02 12:15:00+00:00,28349.71875,28349.71875,28328.419921875,28328.966796875,28328.966796875,21616640
2023-04-02 12:20:00+00:00,28337.935546875,28344.3515625,28323.490234375,28326.111328125,28326.111328125,4231168
2023-04-02 12:25:00+00:00,28322.9765625,28327.0625,28291.947265625,28291.947265625,28291.947265625,10336256
2023-04-02 12:30:00+00:00,28294.236328125,28303.6640625,28292.40625,28292.40625,28292.40625,33679360
2023-04-02 12:35:00+00:00,28288.994140625,28288.994140625,28268.703125,28268.703125,28268.703125,11165696
2023-04-02 12:40:00+00:00,28257.650390625,28300.982421875,28257.650390625,28298.744140625,28298.744140625,33429504
2023-04-02 12:45:00+00:00,28303.9765625,28303.9765625,28271.140625,28271.140625,28271.140625,12065792
2023-04-02 12:50:00+00:00,28270.4765625,28270.4765625,28263.322265625,28264.138671875,28264.138671875,1547264
2023-04-02 12:55:00+00:00,28265.1640625,28265.1640625,28246.6328125,28263.916015625,28263.916015625,7818240
2023-04-02 13:00:00+00:00,28262.248046875,28262.248046875,28240.56640625,28240.56640625,28240.56640625,5562368
